title,publication_date,author,link,slug
The Well-Performing Digital Team for Your Agile Projects,11/03/2019,Paolo Dotta,https://altar.io/the-well-performing-digital-team-for-your-agile-projects/,the-well-performing-digital-team-for-your-agile-projects
The Startup MVP Development Process from A-Z,25/12/2019,Andre Lopes,https://altar.io/why-your-startup-should-take-4-6-weeks-to-launch-not-4-6-months/,why-your-startup-should-take-4-6-weeks-to-launch-not-4-6-months
5 Simple Steps to Create Your UK Startup in One Week,14/11/2019,Paolo Dotta,https://altar.io/5-steps-to-create-your-uk-startup-in-one-week/,5-steps-to-create-your-uk-startup-in-one-week
Lessons I’ve Learned Mentoring and Co-Founding Successful Startups,05/10/2019,Paolo Dotta,https://altar.io/lessons-ive-learned-virgin-mentor/,lessons-ive-learned-virgin-mentor
Proptech 3.0 and The Rise of Crypto Securitization in Real Estate,19/04/2019,Andre Lopes,https://altar.io/proptech-3-0-rise-crypto-securitization-real-estate/,proptech-3-0-rise-crypto-securitization-real-estate
10 Different Types of Developers You're Likely to Find,15/11/2019,Daniel de Castro Ruivo,https://altar.io/looking-developers-10-developer-archetypes-youre-likely-encounter/,looking-developers-10-developer-archetypes-youre-likely-encounter
Looking for Investors? Avoid These 7 Types of Bad Business Angels,18/06/2019,Andre Lopes,https://altar.io/looking-investors-avoid-7-types-bad-business-angels/,looking-investors-avoid-7-types-bad-business-angels
A Real Options Model for Tech Startups' Valuation,24/10/2019,Paolo Dotta,https://altar.io/real-options-model-tech-startups-valuation/,real-options-model-tech-startups-valuation
A Software Development Agency Must Challenge A Startup Founder,29/06/2019,Paolo Dotta,https://altar.io/saying-no-to-a-lead-is-hard-but-brings-value-to-the-lead/,saying-no-to-a-lead-is-hard-but-brings-value-to-the-lead
Altar.io Named Leading B2B Company by Clutch.co,20/10/2019,Rui Lourenco,https://altar.io/altar-io-named-leading-b2b-company-by-clutch-co/,altar-io-named-leading-b2b-company-by-clutch-co
Machine Learning in the Browser with Tensorflow.js,07/01/2020,Claudio Teixeira,https://altar.io/machine-learning-in-the-browser/,machine-learning-in-the-browser
The Future of Marketplaces is Here - The 2020s & The Passion Economy,22/01/2020,Andre Lopes,https://altar.io/the-future-of-marketplaces-the-passion-economy/,the-future-of-marketplaces-the-passion-economy
Expert Interview: The Hidden Details When Funding Your Startup,20/05/2020,Paolo Dotta,https://altar.io/expert-interview-funding-your-startup/,expert-interview-funding-your-startup
Raising Capital For A Startup: First Steps To a Great Deal,08/05/2020,Paolo Dotta,https://altar.io/raising-capital-for-a-startup-first-steps-to-a-great-deal/,raising-capital-for-a-startup-first-steps-to-a-great-deal
What The Non-Technical Entrepreneur Needs To Know About Tech,05/12/2019,Daniel de Castro Ruivo,https://altar.io/what-the-non-technical-entrepreneur-needs-to-know-about-tech/,what-the-non-technical-entrepreneur-needs-to-know-about-tech
Hutsi - The Marketing Automation AI Tool We Created From Head to Toe,20/03/2019,Daniel de Castro Ruivo,https://altar.io/hutsi-the-marketing-automation-ai-tool-were-creating-from-head-to-toe/,hutsi-the-marketing-automation-ai-tool-were-creating-from-head-to-toe
Covid-19 in The Age of Technology and The Homo Deus,06/04/2020,Andre Lopes,https://altar.io/covid-19-in-the-age-of-technology-and-the-homo-deus/,covid-19-in-the-age-of-technology-and-the-homo-deus
Are You Too Old To Start A Business and Be A Great Founder?,12/11/2019,Andre Lopes,https://altar.io/managers-improve-become-successful-entrepreneurs/,managers-improve-become-successful-entrepreneurs
Startup Series Funding: Everything You Need To Know,11/03/2020,Rui Lourenco,https://altar.io/startup-series-funding-everything-you-need-to-know/,startup-series-funding-everything-you-need-to-know
Angulartics2 – A Powerful Analytics tool for Angular Applications,21/03/2019,Joao Ribeiro,https://altar.io/powerful-analytics-tool-for-angular-applications-angulartics2/,powerful-analytics-tool-for-angular-applications-angulartics2
How to Build a Marketplace [A Startup Case Study],24/01/2021,Paolo Dotta,https://altar.io/venga-product-bible-ux-ui/,venga-product-bible-ux-ui
What Startup Investors Look for In Entrepreneurs and Their Teams,19/06/2020,Paolo Dotta,https://altar.io/what-startup-investors-look-for-in-entrepreneurs-and-their-teams/,what-startup-investors-look-for-in-entrepreneurs-and-their-teams
Lessons Learned from the Early Days of a Fintech Unicorn,09/10/2020,Paolo Dotta,https://altar.io/lessons-from-a-fintech-unicorn/,lessons-from-a-fintech-unicorn
15 Passion Economy Subscription Marketplace Ideas,19/10/2020,Andre Lopes,https://altar.io/passion-economy-marketplace-ideas/,passion-economy-marketplace-ideas
The Ultimate List of MVP Examples [20+ Case Studies],23/10/2020,Paolo Dotta,https://altar.io/ultimate-list-mvp-examples/,ultimate-list-mvp-examples
Cloud Migration &amp; Other B2B Fintech Trends for 2021,05/11/2020,Claudio Teixeira,https://altar.io/cloud-migration-fintech-trends/,cloud-migration-fintech-trends
Founder Story: The Key Decisions When Building a Fintech,12/11/2020,Paolo Dotta,https://altar.io/founder-story-the-key-decisions-when-building-a-fintech/,founder-story-the-key-decisions-when-building-a-fintech
Selling a Fintech Before Launch by Leveraging Your Most Valuable Resource: People,23/12/2020,Paolo Dotta,https://altar.io/selling-fintech-before-launch-leveraging-people/,selling-fintech-before-launch-leveraging-people
Expert Interview: How to Hire Top Talent in Startups,22/01/2021,Paolo Dotta,https://altar.io/expert-interview-how-to-hire-top-talent-in-startups/,expert-interview-how-to-hire-top-talent-in-startups
What Entrepreneurs Should Know Before Hiring a Business Coach [Expert Interview],01/02/2021,Paolo Dotta,https://altar.io/business-coach-for-entrepreneurs-expert-interview/,business-coach-for-entrepreneurs-expert-interview
What Founders Should Know Before Hiring a CTO or a Software Agency [Expert Interview],08/01/2021,Paolo Dotta,https://altar.io/what-founders-should-know-before-hiring-a-cto-or-software-agency-expert-interview/,what-founders-should-know-before-hiring-a-cto-or-software-agency-expert-interview
Founder Story: Building and Scaling a Fintech Startup by Trusting your Gut,18/09/2020,Paolo Dotta,https://altar.io/building-and-scaling-fintech-startup-by-trusting-your-gut/,building-and-scaling-fintech-startup-by-trusting-your-gut
From Being Fired to Building a Multi-Million Dollar Fintech Startup,07/08/2020,Paolo Dotta,https://altar.io/from-being-fired-to-building-a-multi-million-dollar-fintech-startup/,from-being-fired-to-building-a-multi-million-dollar-fintech-startup
Founder Story: Starting And Selling a Fintech Startup in Less Than 4 Years,27/07/2020,Paolo Dotta,https://altar.io/founder-story-starting-and-selling-a-fintech-startup-in-less-than-4-years/,founder-story-starting-and-selling-a-fintech-startup-in-less-than-4-years
Expert Interview: The Ultimate Guide to Startup Advisors,03/07/2020,Paolo Dotta,https://altar.io/expert-interview-ultimate-guide-to-startup-advisors/,expert-interview-ultimate-guide-to-startup-advisors
Functional or Non-functional MVP? An Early-Stage Startup Problem,29/10/2020,Daniel de Castro Ruivo,https://altar.io/mvp-functional-non-functional-startup-early-stage-dilemma/,mvp-functional-non-functional-startup-early-stage-dilemma
"How to Build a Startup? CTO, Freelancers, Agency?",10/09/2020,Daniel de Castro Ruivo,https://altar.io/whats-the-best-way-to-build-your-startup-cto-freelancers-agency/,whats-the-best-way-to-build-your-startup-cto-freelancers-agency
My Experience Building a Tech Startup Without a Technical Co-Founder,03/12/2020,Dudley Gould,https://altar.io/building-a-startup-without-a-technical-co-founder/,building-a-startup-without-a-technical-co-founder
Expert Interview: The 3 Pillars to Become a Successful Entrepreneur,04/09/2020,Rui Lourenco,https://altar.io/expert-interview-become-a-successful-entrepreneur/,expert-interview-become-a-successful-entrepreneur
Expert Interview: The One Thing You Can’t Miss When Building an MVP,28/08/2020,Rui Lourenco,https://altar.io/expert-interview-building-an-mvp/,expert-interview-building-an-mvp
Building a Successful Fintech by Listening to the Market (Founder Interview),01/04/2021,Paolo Dotta,https://altar.io/building-a-fintech-by-listening-to-the-market-founder-interview/,building-a-fintech-by-listening-to-the-market-founder-interview
How an Experience in Turkey Led to a Million-Dollar Startup [Founder Interview],09/04/2021,Paolo Dotta,https://altar.io/how-an-experience-in-turkey-led-to-a-million-dollar-startup-founder-interview/,how-an-experience-in-turkey-led-to-a-million-dollar-startup-founder-interview
The Crucial First Steps to Build a Successful Tech Startup,25/06/2021,Paolo Dotta,https://altar.io/crucial-first-steps-to-build-tech-startup/,crucial-first-steps-to-build-tech-startup
8 Steps to Follow to Build a Successful Marketplace,23/07/2021,Andre Lopes,https://altar.io/eight-steps-follow-build-successful-marketplace/,eight-steps-follow-build-successful-marketplace
Why Micro Teams are the Future of Software Development,09/07/2021,Andre Lopes,https://altar.io/micro-teams-future-of-software-development/,micro-teams-future-of-software-development
How Long Does It Take to Build an MVP? (Minimum Viable Product),30/07/2021,Paolo Dotta,https://altar.io/how-long-it-takes-to-build-an-mvp/,how-long-it-takes-to-build-an-mvp
How a Lot of Rejection and 4 Years in “Stealth Mode” Turned into $21M in Funding [Founder Story],06/08/2021,Rui Lourenco,https://altar.io/founder-story-how-rejection-turned-into-21m-funding/,founder-story-how-rejection-turned-into-21m-funding
The Right Roadmap to Build an MVP: From Idea to Launch,17/08/2021,Paolo Dotta,https://altar.io/the-roadmap-to-build-an-mvp-from-idea-to-launch/,the-roadmap-to-build-an-mvp-from-idea-to-launch
7 Key Product Lessons I Learned Interviewing Successful Entrepreneurs,27/08/2021,Rui Lourenco,https://altar.io/key-product-lessons-i-learned-interviewing-successful-entrepreneurs/,key-product-lessons-i-learned-interviewing-successful-entrepreneurs
Remote Work vs. The Office: What’s Best for Your Startup?,09/09/2021,Paolo Dotta,https://altar.io/remote-work-vs-the-office-whats-best-for-your-startup/,remote-work-vs-the-office-whats-best-for-your-startup
"How to Build a Million Dollar Startup by Falling in Love With a Problem, Not a Solution [Founder Story]",17/09/2021,Paolo Dotta,https://altar.io/founder-story-fall-in-love-with-problems-not-solutions/,founder-story-fall-in-love-with-problems-not-solutions
Lessons Learned From Over 25 Years in Silicon Valley [Founder Story],08/10/2021,Rui Lourenco,https://altar.io/lessons-learned-from-over-25-years-in-silicon-valley-founder-story/,lessons-learned-from-over-25-years-in-silicon-valley-founder-story
Custom Software Development Companies for Startups: How to Make it Work,13/05/2021,Paolo Dotta,https://altar.io/custom-software-development-companies-for-startups/,custom-software-development-companies-for-startups
8 Traits to Consider if You Want to Find the Perfect Co-Founder,15/04/2021,Paolo Dotta,https://altar.io/intellectual-humility-and-the-7-traits-of-great-co-founders/,intellectual-humility-and-the-7-traits-of-great-co-founders
Building a Fintech: 7 Key Lessons from Successful Founders,26/02/2021,Paolo Dotta,https://altar.io/key-lessons-fintech-founders/,key-lessons-fintech-founders
What Angel Investors Look For in Entrepreneurs and their Startups [Expert Interview],19/02/2021,Paolo Dotta,https://altar.io/what-angel-investors-look-for-in-entrepreneurs-and-their-startups-expert-interview/,what-angel-investors-look-for-in-entrepreneurs-and-their-startups-expert-interview
The Ultimate Guide to Dedicated Software Development Teams,05/02/2021,Andre Lopes,https://altar.io/ultimate-guide-dedicated-software-development-team/,ultimate-guide-dedicated-software-development-team
Early-Stage Marketing Considerations for Startups [Expert Interview],15/07/2021,Rui Lourenco,https://altar.io/marketing-for-startups-expert-interview/,marketing-for-startups-expert-interview
9 Crucial Lessons I Learned from Interviewing Successful Entrepreneurs,20/05/2021,Rui Lourenco,https://altar.io/crucial-lessons-learned-interviewing-successful-entrepreneurs/,crucial-lessons-learned-interviewing-successful-entrepreneurs
What Every Entrepreneur Should Know About Startup Lawyers  [Expert Interview],16/03/2021,Rui Lourenco,https://altar.io/expert-interview-startup-lawyers/,expert-interview-startup-lawyers
3 Steps to Build a Successful MVP (Minimum Viable Product),06/04/2022,Daniel de Castro Ruivo,https://altar.io/features-inside-mvp-3-steps-know-answer/,features-inside-mvp-3-steps-know-answer
Altar Co-founder Interviewed by Business Magazine,13/10/2021,Jamie Russell-Curtis,https://altar.io/altar-co-founder-interviewed-by-business-magazine/,altar-co-founder-interviewed-by-business-magazine
7 Dangerous Mistakes to Avoid When Building an MVP,22/10/2021,Paolo Dotta,https://altar.io/mistakes-to-avoid-when-building-an-mvp/,mistakes-to-avoid-when-building-an-mvp
Hands-On Starlink Review: Does it Live Up to the Hype?,27/07/2022,Claudio Teixeira,https://altar.io/starlink-review/,starlink-review
Busting the ‘Overnight Success’ Myth in Startups,05/11/2021,Rui Lourenco,https://altar.io/busting-the-overnight-success-myth-in-startups/,busting-the-overnight-success-myth-in-startups
How to Build a SaaS Product That Gets Funded in 5 Steps,24/11/2021,Paolo Dotta,https://altar.io/how-to-build-a-saas-product/,how-to-build-a-saas-product
How to Write a Software Requirements Specification (SRS) Document in 5 Steps,03/12/2021,Claudio Teixeira,https://altar.io/how-to-write-an-srs-document/,how-to-write-an-srs-document
When & How to Pivot Your Startup [With Real-Life Examples],20/12/2021,Rui Lourenco,https://altar.io/startup-pivot-guide/,startup-pivot-guide
How I Found the Right Software Development Company for My Startup,18/02/2022,Adil Kurt-Elli,https://altar.io/finding-a-software-development-company-startup/,finding-a-software-development-company-startup
7 Entrepreneurial Mindset Lessons from Founders that Raised Millions,18/01/2022,Rui Lourenco,https://altar.io/entrepreneurial-mindset-lessons/,entrepreneurial-mindset-lessons
Forbes Highlights Altar.io’s Impact on the Portuguese Business Landscape,04/03/2022,Rui Lourenco,https://altar.io/impact-on-business-landscape-portugal-forbes/,impact-on-business-landscape-portugal-forbes
The 7 Best Startup Incubators Worldwide and How They Can Help You,11/03/2022,Paolo Dotta,https://altar.io/best-startup-incubators/,best-startup-incubators
6 Vital Lessons on Building a Startup Team from Multi-Million Dollar Entrepreneurs,01/04/2022,Rui Lourenco,https://altar.io/vital-lessons-on-building-a-startup-team/,vital-lessons-on-building-a-startup-team
Building an MVP? Here Are 3 Tools Your Project Manager Should Be Using,08/04/2022,Pedro Alves,https://altar.io/project-manager-tools-to-build-an-mvp/,project-manager-tools-to-build-an-mvp
How to Build a Startup with Freelance Developers,29/04/2022,Daniel de Castro Ruivo,https://altar.io/build-a-startup-with-freelance-developers/,build-a-startup-with-freelance-developers
How to Build a Tech Startup in Portugal in 10 Simple Steps,04/05/2022,Andre Lopes,https://altar.io/how-to-start-a-business-in-portugal/,how-to-start-a-business-in-portugal
10 Reasons Why You Should Build A Startup in Lisbon,07/02/2022,Andre Lopes,https://altar.io/lisbon-great-place-develop-startup/,lisbon-great-place-develop-startup
The 10 Best Coworking Spaces in Lisbon For Entrepreneurs,05/01/2022,Jamie Russell-Curtis,https://altar.io/10-best-coworking-spaces-lisbon-entrepreneurs/,10-best-coworking-spaces-lisbon-entrepreneurs
From Struggling to Buy a TV to Getting Acquired by a $7.5B Fintech Monster,06/02/2022,Rui Lourenco,https://altar.io/from-struggling-to-buy-a-tv-to-startup-acquisition/,from-struggling-to-buy-a-tv-to-startup-acquisition
The Real Reason Why Altar.io Was Named A Top 1000 Company In 2021,12/12/2021,Rui Lourenco,https://altar.io/the-reason-why-altar-won-top-agency-2020/,the-reason-why-altar-won-top-agency-2020
How This Unicorn Startup Founder Built an Airline Out of Necessity,12/09/2022,Rui Lourenco,https://altar.io/founder-interview-building-an-airline-and-an-innovative-fintech-product/,founder-interview-building-an-airline-and-an-innovative-fintech-product
